ModelName,DS-5622A
FileVersion,6
Acquisition Time,2026/07/16 12:11:19
Time/div(second),2E-03
Delay(second),-6.00E-03
Delta(second),20E-06
Acquisition Mode,Average,1024
Trigger Address,200
CH1 Display,On
CH2 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,1.00E+00
CH1 Offset,7.00E-03
CH2 Offset,-3.00E+00
CH1 Coupling,DC50
CH2 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
Points,1001
Ch1 V,Ch2 V
-1.098E-04,-6.713E-03,,
-1.074E-04,-7.934E-03,,
-1.059E-04,-7.080E-03,,
-1.105E-04,-7.202E-03,,
-1.091E-04,-6.713E-03,,
-1.054E-04,-6.958E-03,,
-1.149E-04,-7.324E-03,,
-1.110E-04,-7.324E-03,,
-1.118E-04,-6.591E-03,,
-1.152E-04,-7.690E-03,,
-1.154E-04,-6.469E-03,,
-1.157E-04,-7.202E-03,,
-1.162E-04,-7.324E-03,,
-1.088E-04,-7.080E-03,,
-1.101E-04,-7.446E-03,,
-1.057E-04,-7.934E-03,,
-1.193E-04,-7.202E-03,,
-1.030E-04,-6.835E-03,,
-1.108E-04,-7.080E-03,,
-1.105E-04,-7.568E-03,,
-1.169E-04,-7.080E-03,,
-1.132E-04,-6.958E-03,,
-1.098E-04,-7.934E-03,,
-1.162E-04,-7.202E-03,,
-1.123E-04,-7.568E-03,,
-1.130E-04,-7.812E-03,,
-1.052E-04,-7.568E-03,,
-1.132E-04,-6.469E-03,,
-1.125E-04,-6.958E-03,,
-1.154E-04,-6.591E-03,,
-1.098E-04,-6.958E-03,,
-1.154E-04,-7.202E-03,,
